url,clicks,impressions,ctr,position
https://newcastlehub.info/,42,3200,0.013,9.1
https://newcastlehub.info/services/,18,1450,0.012,10.4
https://newcastlehub.info/restaurant-solutions/,9,980,0.009,11.2
https://newcastlehub.info/beauty-salon-solutions/,7,860,0.008,12.0
https://newcastlehub.info/trades-solutions/,11,910,0.012,8.9
https://newcastlehub.info/retail-solutions/,5,730,0.007,13.1
https://newcastlehub.info/mechanic-solutions/,6,780,0.008,12.4
https://newcastlehub.info/online-ordering-newcastle/,13,1020,0.013,8.2
https://newcastlehub.info/google-business-optimisation-newcastle/,8,690,0.011,9.8
https://newcastlehub.info/free-newcastle-business-audit/,15,1200,0.013,10.9
