url,clicks,impressions,ctr,position
https://sweetsworld.com.au/,121,5189,0.0233,12.1
https://sweetsworld.com.au/newcastle/powerade/,30,17756,0.0017,2.8
https://sweetsworld.com.au/shop/candy/allensfantales1kg/,20,39,0.5128,2.6
https://sweetsworld.com.au/candy/milk-choc-clinkers-100g/,15,44,0.3409,1.3
https://sweetsworld.com.au/chocolate/australian-chocolate/white-knights-chocolate-mint-chews/,14,429,0.0326,4.0
https://sweetsworld.com.au/easterchocolate/nomo-creamy-choc-egg-110g/,10,343,0.0292,6.3
https://sweetsworld.com.au/candy-guides/powerade/,9,6275,0.0014,5.7
https://sweetsworld.com.au/newcastle-candy-store-about-us/,9,196,0.0459,7.2
https://sweetsworld.com.au/newcastle/are-nerds-vegan/,9,4245,0.0021,2.5
https://sweetsworld.com.au/candy/jelly-boobs-120g/,7,45,0.1556,5.3
https://sweetsworld.com.au/newcastle/overeating-takis/,7,4970,0.0014,4.1
https://sweetsworld.com.au/shop/,7,104,0.0673,3.9
https://sweetsworld.com.au/shop/british-lollies/uk-sweets/aftereightdarkmintbunny3pk60g/,7,17,0.4118,3.5
https://sweetsworld.com.au/shop/chocolate/darrell-lea/dlfoiledliqeggs120g/,6,11,0.5455,3.1
https://sweetsworld.com.au/candy/american-candy/jelly-belly-bean-boozled/,5,231,0.0216,7.5
https://sweetsworld.com.au/candy/reese-peanut-butter-bunny-easter-egg-pack/,5,88,0.0568,6.3
https://sweetsworld.com.au/easterchocolate/darrell-lea-soft-liquorice-easter-egg-pack/,5,312,0.0160,5.9
https://sweetsworld.com.au/party-lollies/kidsparty/sweetworldfairyfloss/,5,81,0.0617,9.3
https://sweetsworld.com.au/shop/chocolate/australian-chocolate/chocolfairtradesugarfreedarkchoc100g/,5,16,0.3125,5.9
https://sweetsworld.com.au/candy/bertie-beetle-in-the-show-bag/,4,174,0.0230,4.5
https://sweetsworld.com.au/candy/nilla-wafers-311g/,4,115,0.0348,7.0
https://sweetsworld.com.au/candy/old-fashion-lollies/,4,322,0.0124,12.8
https://sweetsworld.com.au/easterchocolate/darrell-lea-ginger-dark-chocolate-egg-easter-pack/,4,133,0.0301,4.6
https://sweetsworld.com.au/easterchocolate/rocklea-road-turkish-delight-easter-egg-pack/,4,74,0.0541,6.0
https://sweetsworld.com.au/shop/candy/sourmegaeggs/,4,5,0.8000,4.0
https://sweetsworld.com.au/shop/easterchocolate/dl-milk-choc-liquorice-bunny-170g/,4,8,0.5000,1.6
https://sweetsworld.com.au/shop/uncategorized/milkbar-easter-egg-gift-box-168g/,4,10,0.4000,1.6
https://sweetsworld.com.au/british-lollies/uk-chocolate/nestle-smarties-pink-130g/,3,64,0.0469,21.3
https://sweetsworld.com.au/candy-guides/jolly-ranchers/,3,471,0.0064,7.5
https://sweetsworld.com.au/candy/american-candy/american-chocolate/yowie-chocolate/,3,461,0.0065,10.1
https://sweetsworld.com.au/candy/fyna-superior-liquorice-bullet-milk-tub-750g/,3,14,0.2143,4.3
https://sweetsworld.com.au/candy/nerds-gummy-clusters-family-size-524g/,3,16,0.1875,4.6
https://sweetsworld.com.au/chocolate/australian-chocolate/dlmilkchocnougategg150g/,3,77,0.0390,7.1
https://sweetsworld.com.au/easterchocolate/reeses-reester-bunny-4pk-136g/,3,74,0.0405,6.4
https://sweetsworld.com.au/newcastle/brain-licker-2/,3,660,0.0045,3.5
https://sweetsworld.com.au/newcastle/jolly-ranchers/,3,1097,0.0027,4.0
https://sweetsworld.com.au/party-lollies/kidsparty/sweetworld-lollipop/,3,103,0.0291,6.2
https://sweetsworld.com.au/shop/candy/liquoricesherbetbombs100g/,3,5,0.6000,1.0
https://sweetsworld.com.au/shop/candy/old-fashion-lollies/lagoonchoobar20/,3,15,0.2000,3.0
https://sweetsworld.com.au/shop/chocolate/darrell-lea/dlmilkchocnougategg150g/,3,12,0.2500,2.0
https://sweetsworld.com.au/uncategorized/pink-lady-milk-chocolate-foiled-wombat/,3,37,0.0811,3.8
https://sweetsworld.com.au/where-to-buy/white-knight-chocolate-where-to-buy-australia/,3,293,0.0102,7.8
https://sweetsworld.com.au/candy-guides/fantales-lollies-buying-guide/,2,85,0.0235,6.2
https://sweetsworld.com.au/candy/allens-bananas-750g/,2,103,0.0194,3.1
https://sweetsworld.com.au/candy/american-candy/american-chocolate/hersheys-kisses-bag-137g/,2,132,0.0152,12.8
https://sweetsworld.com.au/candy/american-candy/savage-gummy-bears/,2,24,0.0833,4.3
