url,clicks,impressions,ctr,position
https://sweetsworld.com.au/,100,4205,0.0238,11.7
https://sweetsworld.com.au/newcastle/powerade/,26,15824,0.0016,2.9
https://sweetsworld.com.au/shop/candy/allensfantales1kg/,18,35,0.5143,2.5
https://sweetsworld.com.au/candy/milk-choc-clinkers-100g/,15,41,0.3659,1.3
https://sweetsworld.com.au/chocolate/australian-chocolate/white-knights-chocolate-mint-chews/,11,355,0.0310,4.0
https://sweetsworld.com.au/newcastle/are-nerds-vegan/,9,3542,0.0025,2.6
https://sweetsworld.com.au/easterchocolate/nomo-creamy-choc-egg-110g/,8,287,0.0279,6.3
https://sweetsworld.com.au/newcastle-candy-store-about-us/,8,171,0.0468,7.5
https://sweetsworld.com.au/newcastle/overeating-takis/,7,4235,0.0017,4.1
https://sweetsworld.com.au/shop/,7,88,0.0795,4.1
https://sweetsworld.com.au/candy/jelly-boobs-120g/,6,39,0.1538,4.6
https://sweetsworld.com.au/candy-guides/powerade/,5,4321,0.0012,5.3
https://sweetsworld.com.au/candy/reese-peanut-butter-bunny-easter-egg-pack/,5,76,0.0658,6.3
https://sweetsworld.com.au/shop/british-lollies/uk-sweets/aftereightdarkmintbunny3pk60g/,5,12,0.4167,3.2
https://sweetsworld.com.au/shop/chocolate/australian-chocolate/chocolfairtradesugarfreedarkchoc100g/,5,13,0.3846,5.9
https://sweetsworld.com.au/shop/chocolate/darrell-lea/dlfoiledliqeggs120g/,5,8,0.6250,2.4
https://sweetsworld.com.au/candy/bertie-beetle-in-the-show-bag/,4,135,0.0296,4.4
https://sweetsworld.com.au/candy/nilla-wafers-311g/,4,90,0.0444,7.6
https://sweetsworld.com.au/candy/old-fashion-lollies/,4,282,0.0142,13.1
https://sweetsworld.com.au/easterchocolate/rocklea-road-turkish-delight-easter-egg-pack/,4,57,0.0702,6.5
https://sweetsworld.com.au/party-lollies/kidsparty/sweetworldfairyfloss/,4,59,0.0678,5.1
https://sweetsworld.com.au/shop/easterchocolate/dl-milk-choc-liquorice-bunny-170g/,4,8,0.5000,1.6
